Number, Colour, Even/Odd
22,black,even
13,red,odd
32,black,even
11,red,odd
1,red,odd
13,red,odd
17,red,odd
14,black,even
7,red,odd
29,red,odd
32,black,even
24,black,even
35,red,odd
20,black,even
24,black,even
29,red,odd
33,red,odd
24,black,even
30,black,even
9,red,odd
1,red,odd
12,black,even
32,black,even
21,red,odd
25,red,odd
4,black,even
34,black,even
16,black,even
24,black,even
6,black,even
2,black,even
36,black,even
22,black,even
10,black,even
6,black,even
23,red,odd
3,red,odd
10,black,even
0,,
21,red,odd
3,red,odd
11,red,odd
25,red,odd
5,red,odd
31,red,odd
13,red,odd
10,black,even
33,red,odd
25,red,odd
33,red,odd
12,black,even
15,red,odd
10,black,even
36,black,even
11,red,odd
2,black,even
1,red,odd
27,red,odd
27,red,odd
13,red,odd
10,black,even
32,black,even
32,black,even
17,red,odd
17,red,odd
31,red,odd
11,red,odd
3,red,odd
14,black,even
13,red,odd
17,red,odd
31,red,odd
14,black,even
33,red,odd
20,black,even
10,black,even
26,black,even
20,black,even
35,red,odd
33,red,odd
6,black,even
35,red,odd
26,black,even
13,red,odd
16,black,even
8,black,even
2,black,even
9,red,odd
0,,
7,red,odd
11,red,odd
6,black,even
25,red,odd
24,black,even
33,red,odd
34,black,even
15,red,odd
16,black,even
35,red,odd
35,red,odd
18,black,even
5,red,odd
26,black,even
30,black,even
14,black,even
21,red,odd
8,black,even
28,black,even
30,black,even
25,red,odd
17,red,odd
33,red,odd
27,red,odd
14,black,even
8,black,even
28,black,even
11,red,odd
23,red,odd
15,red,odd
28,black,even
35,red,odd
28,black,even
17,red,odd
29,red,odd
6,black,even
8,black,even
33,red,odd
0,,
20,black,even
2,black,even
35,red,odd
14,black,even
8,black,even
36,black,even
22,black,even
31,red,odd
28,black,even
28,black,even
6,black,even
15,red,odd
30,black,even
13,red,odd
27,red,odd
7,red,odd
1,red,odd
34,black,even
5,red,odd
31,red,odd
33,red,odd
36,black,even
9,red,odd
12,black,even
12,black,even
1,red,odd
29,red,odd
13,red,odd
12,black,even
5,red,odd
33,red,odd
3,red,odd
0,,
2,black,even
13,red,odd
28,black,even
21,red,odd
33,red,odd
17,red,odd
